date,headline,news,pdf-pill-label (2),text-nowrap,endless_more href,endless_more,minorchange (6),minorchange (7),minorchange (8),loginModal href,cblack href,cblack,pp-restricted-content href,pp-restricted-content,hidden-premium-post,hidden-premium-post href,hidden-premium-post (2),hidden-premium-post (3),pp-readmore-btn src,hideForSubscriber,minorchange (9),minorchange (10),card-block (3),card-block href,card-block (4),card-block href (2),card-block href (3),card-block (5),card-block (6),card-block href (4),card-block (7),card-block (8),card-block (9),card-block (10),card-block (11),card-block (12),card-title,card-block (50),card-block (51),gr href
26 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=67&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Sep 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Newspaper Clippings Of Notice Published On September 26, 2023 - …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Sep 2023,Reliance Industries Share Price Live blog for 26 Sep 2023,"Reliance Industries stock price went down today, 26 Sep 2023, by -0.59 %. The stock closed at 2354.05 per share. The stock is currently trading at 2340.05 per share. Investors should monitor Reliance Industries stock price closely in the coming days and weeks to see how it reacts to the news.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Shareholder Meeting / Postal Ballot-Notice of Postal Ballot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Sep 2023,Reliance Industries Share Price Live blog for 25 Sep 2023,"Reliance Industries stock price went down today, 25 Sep 2023, by -0.44 %. The stock closed at 2364.55 per share. The stock is currently trading at 2354.05 per share. Investors should monitor Reliance Industries stock price closely in the coming days and weeks to see how it reacts to the news.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of SEBI (Listing Obligations And Disclosure …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Sep 2023,Mukesh Ambani's Viacom18 to strike deal with Blackstone for new Mumbai HQ: Sources,"Viacom, which runs TV channels and digital streaming platform JioCinema, competes with the likes of Walt Disney in India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Sep 2023,Reliance Industries Share Price Live blog for 22 Sep 2023,"Reliance Industries stock price went down today, 22 Sep 2023, by -0.74 %. The stock closed at 2382.1 per share. The stock is currently trading at 2364.55 per share. Investors should monitor Reliance Industries stock price closely in the coming days and weeks to see how it reacts to the news.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=68&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Sep 2023,Reliance Industries Share Price Live blog for 21 Sep 2023,"Reliance Industries stock price went down today, 21 Sep 2023, by -2.21 %. The stock closed at 2436 per share. The stock is currently trading at 2382.1 per share. Investors should monitor Reliance Industries stock price closely in the coming days and weeks to see how it reacts to the news.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Sep 2023,Reliance Industries share price extends losing streak to fourth session; here's why,"Reliance Industries' share price falls 2.5% on block deal news, continues losing streak for fourth consecutive session.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Sep 2023,"In pics: Nita and Mukesh Ambani perform Lord Ganesha aarti; Shah Rukh Khan, Deepika Padukone, others visit Ambani residence","Industrialist Mukesh Ambani and his wife Nita Ambani hosted a grand Ganesh Chaturthi celebration at their residence Antilia in Mumbai on Tuesday. The celebration saw the presence of renowned people from Bollywood, sports, business as well as political fraternities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Sep 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Media Release By Reliance Jio Infocomm Limited, A Subsidiary Of …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Sep 2023,Walt Disney enters talks with RIL to sell its India streaming biz,"Various options are being explored, from selling the entire Disney Star business to a partial transaction involving assets like sports rights and Disney+ Hotstar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Sep 2023,"Gucci, Cartier, LVMH to expand in India with new outlets in Reliance's luxury mall, says report","This comes as these brands and Reliance Industries look to tap lucrative prospects presented by India's strong economic growth and a rapid increase in the number of millionaires, Reuters reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=69&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Contact Details Of Key Managerial Personnel Of The Company Authorised …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of Securities And Exchange Board Of …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Sep 2023, 09:09PM",RELIANCE INDUSTRIES LTD. - 500325 - Update On Institutional Investors' Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Sep 2023, 07:16PM",RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Sep 2023,Reliance Industries Share Price Live blog for 12 Sep 2023,"Reliance Industries stock price went down today, 12 Sep 2023, by -0.62 %. The stock closed at 2474.4 per share. The stock is currently trading at 2459.15 per share. Investors should monitor Reliance Industries stock price closely in the coming days and weeks to see how it reacts to the news.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sep 2023,"No worries about Jio's foray into financial services : Sanjiv Bajaj, chairman of Bajaj Finserv","""The market is large enough. There are many bigger brothers and sisters that we have. Even being present in 4,000 cities (currently) with assets close to 3 lakh-crore, we still have less than 2% of India's credit market,"" Sanjiv Bajaj said, responding to Bain Capital chairman Amit Chandra during a fireside chat after delivering a speech at an event organised by the Indian Merchants Chambers (IMC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Press Release / Media Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=70&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Sep 2023,Reliance Jio collaborates with Nvidia for AI infrastructure; hints at a possible homegrown generative AI,"While certain IT giants have announced their plans to create generative AI platforms, investments into these projects are minuscule in comparison to the large American companies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Sep 2023,,,,,,,,,,,https://trendlyne.com/posts/4262999/mukesh-ambani-maps-out-the-next-decade-for-reliance,Mukesh Ambani maps out the next decade for Reliance,https://trendlyne.com/author/7/deeksha-janiani/,By Deeksha Janiani,The annual general meeting (AGM) hosted by,https://trendlyne.com/equity/1127/RELIANCE/reliance-industries-ltd/,Reliance Industries,"(RIL) is a highly anticipated event in the corporate calendar. Investors look forward to it to gain insights into the conglomerate’s future plans. The management at Reliance, and Mukesh Ambani in particular, have a history of using the AGM to make significant announcements, such as the launch of Jio and new …",https://cdn-static.trendlyne.com/static/img/common/gold-premium-crown.png,This is a premium article. Click here to read.,,,,,,,,,,,,,,,,,,,,
07 Sep 2023,,The annual general meeting hosted by Reliance Industries (RIL) is a highly anticipated event in the corporate calendar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Sep 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Update To The Disclosure Dated August 23, 2023 On Investment …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Sep 2023,Jio bats for flexible use of satellite spectrum,"Jio has been advocating auction of satellite spectrum, while other players are in favour of administrative allocation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Sep 2023,"Mukesh Ambani, Gautam Adani among 500 businessman who will attend G20 Summit Dinner","India's wealthiest tycoons, including billionaires Mukesh Ambani and Gautam Adani, will be joining G20 leaders for a dinner in the capital city on Saturday, as India showcases its position as the world's fastest-growing major economy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Sep 2023,Jio Financial Services share price falls over 3% ahead of exclusion from NSE indices; $324 mn passive selling expected,"Jio Financial Services Ltd (JFSL), the demerged non-banking financial services unit of Mukesh Ambani-led Reliance Industries, will be dropped from Nifty 50 and other NSE indices, on September 7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=71&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Sep 2023,Everything you need to know about Ambani scions who'll take over Reliance Industries,"Ambani, Asia's richest person, in recent years, has said the children would have significant roles at India's biggest conglomerate, which is valued at around $200 billion. Their eldest son Akash is already chairman of the telecom unit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Sep 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Sep 2023,Reliance Industries Share Price Live blog for 01 Sep 2023,"Reliance Industries stock price went down today, 01 Sep 2023, by -0.47 %. The stock closed at 2418.3 per share. The stock is currently trading at 2406.9 per share. Investors should monitor Reliance Industries stock price closely in the coming days and weeks to see how it reacts to the news.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Resignation Of Smt. Nita M. Ambani From The Board Of …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Aug 2023,Jio Financial Services Share Price Live blog for 31 Aug 2023,"Jio Financial Services stock price went up today, 31 Aug 2023, by 4.99 %. The stock closed at 221.65 per share. The stock is currently trading at 232.7 per share. Investors should monitor Jio Financial Services stock price closely in the coming days and weeks to see how it reacts to the news.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2023,RIL in talks with head hunters to scout for CEO for Jio Financial's insurance business: Report,"'JFS will enter the insurance segment to offer simple, yet smart, Life, General, and Health insurance products through a seamless digital interface, potentially partnering with global players,' said Mukesh Ambani at RIL AGM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=72&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Voting Results In Respect Of The Forty-Sixth Annual General Meeting …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Voting Results In Respect Of The Forty-Sixth Annual General Meeting …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Aug 2023,RIL share price in focus. Should you buy after the Reliance AGM 2023? Here's what experts say,"RIL share price: Reliance Industries' share price traded lacklustre after the company's AGM, with analysts attributing the fall to the absence of clear timelines for the IPOs of Reliance Retail and Jio. Most brokerages maintained their earlier views on the stock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Aug 2023,,Pivoted towards consumption and new-age technology in India and beyond for sustainable growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Change in Directorate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Shareholder Meeting / Postal Ballot-Outcome of AGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=73&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Chairman''s Statement, Delivered At The Forty-Sixth Annual General Meeting (Post-IPO) …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,"In Mega Push, Mukesh Ambani's Jio Promises ""AI To Everyone, Everywhere""","Jio Platforms is keen to lead efforts in developing India-specific AI models and AI-powered solutions across domains, delivering the benefit of this new-age technology to Indian citizens, businesses and government, RIL Chairman Mukesh Ambani said on Monday promising ""AI to everyone, everwhere"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Change in Directorate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Resignation of Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,"CLSA maintains 'buy' rating on Reliance, raises target price to Rs 3,060 a share","Brokerage firm CLSA has retained its buy rating on India's biggest company Reliance Industries Ltd and increased target price to Rs 3060 a share, up 23 percent from its current market price.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Aug 2023,,"Reliance Industries (RIL), in its latest AGM laid out the blueprint for value creation over the next decade, with its emphasis on continuing its transition to a new-age digital conglomerate. With emphasis on growing its digital footprint by expanding Jio’s product and solutions bouquet, accelerating efforts to transition to new energy and specialty chemicals, and continuing to leverage the world-scale platform established by its retail segment, RIL sees a radically different future for itself over the next decade vs the last 40 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Aug 2023,Is Punjabi pop the new hip-hop?,"After Prime Video's documentary on AP Dhillon, a fictional series Bajao' on Jio Cinema puts the spotlight on this genre, having a direction-altering moment in its history.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=74&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Aug 2023,"RIL, Oberoi Hotels to jointly manage hotels",RIL holds 18.53 per cent stake in EIH Limited that operates the Oberoi brand of hotels and resorts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Media Release By The Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Aug 2023,Why Jio Financial Services shares are hitting lower circuit everyday; Deepak Shenoy explains,Jio Financial Services shares have plunged for the fourth consecutive session Thursday on persistent selling from institutions who have to exit from the stock before it is removed from the indices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Aug 2023,"Reliance share price weak, but experts stay optimistic after Reliance Retail-QIA deal; all eyes on 46th AGM on Monday","RIL share price dipped a day after it said Qatar Investment Authority (QIA) will invest 8,278 crore in Reliance Retail Ventures Limited, a subsidiary of Reliance Industries Limited. RIL's 46th AGM is on Monday, August 28.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Aug 2023,"Qatar Investment Authority To Invest Rs 8,278 Crore In Reliance Retail","Reliance Industries on Wednesday announced that Qatar Investment Authority (QIA), through a wholly-owned subsidiary, will invest Rs 8,278 crore into its retail arm Reliance Retail Ventures Limited (RRVL).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Press Release / Media Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Aug 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Disclosures under Reg. 29(1) of SEBI (SAST) Regulations, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Aug 2023,,"The FY23 annual report of Reliance Industries (RIL) throws up some interesting data points: i) Capex of INR 1.4trn had grown by a material INR 423bn in FY23, ii) resultant, net debt (including spectrum and other deferred payment liabilities) expanded sharply to INR 1.05trn, despite a material INR 428bn of increase in cash + equivalents for the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=75&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Update On Institutional Investors' Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Aug 2023,"Jio Financial lists on D-St, falls 5% on expected passive fund selling","The shares which listed earlier than anticipated fell to 251.75 on the BSE, giving it a market value of 1.6 lakh crore, after opening trade at 265 apiece. The company, which has multiple lines of business in finance, was spun off from Reliance Industries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Aug 2023,Jio Financial Services Ltd (JFSL) shares to list on Monday. GMP signals strong premium,"Reliance Industries' subsidiary, Jio Financial Services, will list on Indian stock exchanges on August 21 with a share price of 261.85. The grey market premium for JFSL is currently between 50 and 54, and market observers predict the stock will open at between 315 and 325.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Update On The Scheme Of Arrangement Between Reliance Industries Limited …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Update On Institutional Investors' Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of The Securities And Exchange Board …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=76&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Aug 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Media Release By Reliance Jio Infocomm Limited, A Subsidiary Of …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Aug 2023, 06:19PM",RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of The Securities And Exchange Board …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Aug 2023, 06:02PM",RELIANCE INDUSTRIES LTD. - 500325 - Presentation On Item No. 10 And 11 Of The Notice …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Update On The Scheme Of Arrangement Between Reliance Industries Limited …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Aug 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Please Find Attached A Media Release By Radisys Corporation, Titled …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Aug 2023,"Jio Financial Services shares credited to demat accounts; Morgan Stanley reiterates Rs 3,000 target for RIL","Ahead of the AGM on August 28, RIL has also scheduled one-on-one meetings with institutional investors at the Motilal Oswal 19th Annual Global Investor Conference and Nuvama India Conference",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=77&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Aug 2023,"RELIANCE INDUSTRIES LTD. - 500325 - Order Passed By The Hon'Ble National Company Law Tribunal, Mumbai …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Aug 2023,Mukesh Ambani sells luxurious 2BHK condo in New York for $9 million: Report,"According to a listing on StreetEasy, the tower consists of 50 apartments that vary in size from 943 sq ft open loft to 6,321 sq-ft penthouse with six apartments having a private outdoor space.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Aug 2023,"Reliance Retail, Jio sees uptick in employee attrition, shows RIL annual report","The report noted that 1,67,391 employees left Reliance Industries Limited during FY23.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Aug 2023,"Reliance Jio, Retail record 65% jump in attrition in FY23","Over 167,000 employees left the company during the year, although overall fresh hiring increased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Aug 2023,RIL ready to double its green energy investment to 1.5 trillion,Company is planning to commence the transition from grey to green hydrogen by 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Newspaper Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Aug 2023,RIL share price trades with marginal gains; investors shift focus to AGM on August 28,RIL share price: RIL shares are down over 2 per cent in the last one year while the equity barometer Sensex has jumped almost 13 per cent in the same period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,https://trendlyne.com/latest-news/1127/RELIANCE/reliance-industries-ltd/?page=78&qstime=1728896616,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Aug 2023,RELIANCE INDUSTRIES LTD. - 500325 - Notice Of The Forty-Sixth Annual General Meeting (Post-IPO) And Integrated …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
